import time: self [us] | cumulative | imported package
import time:      1062 |       1062 |                                     numpy.linalg._umath_linalg
import time:      4263 |      40287 |                                   numpy.linalg._linalg
import time:      1214 |      41500 |                                 numpy.linalg
import time:      1929 |      43429 |                               numpy.matrixlib.defmatrix
import time:      1063 |      44491 |                             numpy.matrixlib
import time:      1926 |       1926 |                               numpy.lib._histograms_impl
import time:      3658 |       5583 |                             numpy.lib._function_base_impl
import time:      1850 |      51924 |                           numpy.lib._index_tricks_impl
import time:      1903 |      53827 |                         numpy.lib._arraypad_impl
import time:      2074 |       2074 |                         numpy.lib._arraysetops_impl
import time:      1352 |       1352 |                         numpy.lib._arrayterator_impl
import time:      1858 |       1858 |                         numpy.lib._nanfunctions_impl
import time:      1200 |       1200 |                               numpy.lib._utils_impl
import time:      1309 |       2508 |                             numpy.lib._format_impl
import time:      1465 |       3973 |                           numpy.lib.format
import time:      1551 |       1551 |                           numpy.lib._datasource
import time:      1829 |       1829 |                           numpy.lib._iotools
import time:      3544 |      10896 |                         numpy.lib._npyio_impl
import time:      1663 |       1663 |                             numpy.lib._ufunclike_impl
import time:      1649 |       3312 |                           numpy.lib._type_check_impl
import time:      2147 |       5459 |                         numpy.lib._polynomial_impl
import time:      1517 |       1517 |                         numpy.lib._shape_base_impl
import time:      1085 |       1085 |                         numpy.lib._version
import time:       980 |        980 |                         numpy.lib.introspect
import time:      1334 |       1334 |                         numpy.lib.mixins
import time:      1022 |       1022 |                         numpy.lib.npyio
import time:      2388 |       2388 |                           numpy.lib._scimath_impl
import time:       897 |       3284 |                         numpy.lib.scimath
import time:      1249 |       1249 |                         numpy.lib.stride_tricks
import time:      2300 |      88231 |                       numpy.lib
import time:      1264 |       1264 |                       numpy._array_api_info
import time:      3511 |     179292 |                     numpy
import time:      1370 |       1370 |                         huggingface_hub
import time:       928 |        928 |                             httpx.__version__
import time:       803 |        803 |                                       urllib.response
import time:      1194 |       1997 |                                     urllib.error
import time:       933 |        933 |                                     nturl2path
import time:      3139 |       6069 |                                   urllib.request
import time:      1879 |       1879 |                                   httpx._exceptions
import time:      3572 |       3572 |                                     http.cookiejar
import time:      2058 |       2058 |                                         httpx._types
import time:      1151 |       1151 |                                         httpx._utils
import time:      1219 |       4427 |                                       httpx._multipart
import time:       975 |       5402 |                                     httpx._content
import time:       384 |        384 |                                       brotli
import time:       253 |        253 |                                       brotlicffi
import time:       243 |        243 |                                       zstandard
import time:      1284 |       2164 |                                     httpx._decoders
import time:      2177 |       2177 |                                     httpx._status_codes
import time:      1474 |       1474 |                                           idna.idnadata
import time:       991 |        991 |                                           idna.intranges
import time:      1897 |       4361 |                                         idna.core
import time:       970 |        970 |                                         idna.package_data
import time:      1403 |       6733 |                                       idna
import time:      4370 |       4370 |                                       httpx._urlparse
import time:      1328 |      12429 |                                     httpx._urls
import time:      2188 |      27930 |                                   httpx._models
import time:      2313 |      38189 |                                 httpx._auth
import time:      1844 |       1844 |                                 httpx._config
import time:      1000 |       1000 |                                       httpx._transports.base
import time:      1487 |       2487 |                                     httpx._transports.asgi
import time:      1484 |       1484 |                                     httpx._transports.default
import time:      1396 |       1396 |                                     httpx._transports.mock
import time:      1161 |       1161 |                                     httpx._transports.wsgi
import time:      1742 |       8269 |                                   httpx._transports
import time:        41 |       8309 |                                 httpx._transports.base
import time:      1567 |      49908 |                               httpx._client
import time:       720 |      50628 |                             httpx._api
import time:      3515 |       3515 |                                   gettext
import time:      1661 |       1661 |                                         ctypes.wintypes
import time:      2687 |       4347 |                                       click._winconsole
import time:      1352 |       5699 |                                     click._compat
import time:       774 |        774 |                                       click.globals
import time:      1167 |       1167 |                                       click.utils
import time:      1341 |       3282 |                                     click.exceptions
import time:      1998 |      10978 |                                   click.types
import time:      2210 |       2210 |                                   click._utils
import time:      1012 |       1012 |                                     click.parser
import time:      1077 |       2088 |                                   click.formatting
import time:      1042 |       1042 |                                   click.termui
import time:      3400 |      23230 |                                 click.core
import time:      1209 |       1209 |                                 click.decorators
import time:      1330 |      25769 |                               click
import time:      1609 |       1609 |                                 pygments
import time:      2873 |       2873 |                                 pygments.lexers._mapping
import time:      1153 |       1153 |                                 pygments.modeline
import time:       836 |        836 |                                 pygments.plugin
import time:      1701 |       1701 |                                 pygments.util
import time:      1353 |       9524 |                               pygments.lexers
import time:      1274 |       1274 |                                   rich._extension
import time:      1804 |       3077 |                                 rich
import time:       406 |        406 |                                   termios
import time:      1152 |       1558 |                                 getpass
import time:      1872 |       1872 |                                 rich._null_file
import time:       939 |        939 |                                 rich.errors
import time:      1108 |       1108 |                                             rich.color_triplet
import time:       986 |       2094 |                                           rich.palette
import time:       878 |       2972 |                                         rich._palettes
import time:      1580 |       1580 |                                         rich.repr
import time:      1002 |       1002 |                                         rich.terminal_theme
import time:      1998 |       7550 |                                       rich.color
import time:      2352 |       9901 |                                     rich.style
import time:      1419 |      11320 |                                   rich.default_styles
import time:      1616 |       1616 |                                   rich.theme
import time:       890 |      13825 |                                 rich.themes
import time:      4737 |       4737 |                                   rich._emoji_codes
import time:      1520 |       6256 |                                 rich._emoji_replace
import time:       992 |        992 |                                 rich._export_format
import time:      1246 |       1246 |                                 rich._fileno
import time:      1758 |       1758 |                                     rich._loop
import time:       790 |        790 |                                     rich._pick
import time:      1038 |       1038 |                                           rich._unicode_data._versions
import time:      1248 |       2286 |                                         rich._unicode_data
import time:      1347 |       3632 |                                       rich.cells
import time:       947 |       4578 |                                     rich._wrap
import time:      2906 |       2906 |                                           rich.segment
import time:       921 |       3826 |                                         rich.jupyter
import time:      1539 |       1539 |                                           rich.protocol
import time:      1320 |       2859 |                                         rich.measure
import time:       875 |       7558 |                                       rich.constrain
import time:      1677 |       9235 |                                     rich.align
import time:      1382 |       1382 |                                     rich.containers
import time:      1180 |       1180 |                                     rich.control
import time:       962 |        962 |                                     rich.emoji
import time:      2194 |      22076 |                                   rich.text
import time:      1241 |      23316 |                                 rich._log_render
import time:      3579 |       3579 |                                 rich.highlighter
import time:      1964 |       1964 |                                 rich.markup
import time:      1014 |       1014 |                                 rich.pager
import time:       169 |        169 |                                   array
import time:       405 |        405 |                                   attr
import time:      1769 |       1769 |                                   rich.abc
import time:      4345 |       6687 |                                 rich.pretty
import time:      1267 |       1267 |                                 rich.region
import time:      1230 |       1230 |                                     rich.box
import time:      1056 |       1056 |                                     rich.padding
import time:      1070 |       3355 |                                   rich.panel
import time:       962 |        962 |                                     rich._ratio
import time:      3241 |       4203 |                                   rich.table
import time:       898 |       8455 |                                 rich.scope
import time:      1031 |       1031 |                                 rich.screen
import time:      1506 |       1506 |                                 rich.styled
import time:      6623 |      85200 |                               rich.console
import time:       125 |        125 |                                 mmap
import time:      1190 |       1190 |                                 rich.filesize
import time:      1502 |       1502 |                                     rich.ansi
import time:       991 |       2492 |                                   rich.file_proxy
import time:      1244 |       1244 |                                   rich.live_render
import time:      1368 |       5103 |                                 rich.live
import time:      1225 |       1225 |                                 rich.progress_bar
import time:      1109 |       1109 |                                   rich._spinners
import time:      1002 |       2111 |                                 rich.spinner
import time:      3689 |      13441 |                               rich.progress
import time:      1165 |       1165 |                                   pygments.filter
import time:      1131 |       1131 |                                     pygments.token
import time:      1539 |       2669 |                                   pygments.filters
import time:      1130 |       1130 |                                   pygments.regexopt
import time:      2158 |       7121 |                                 pygments.lexer
import time:      1216 |       1216 |                                 pygments.style
import time:      1189 |       1189 |                                   pygments.styles._mapping
import time:       865 |       2054 |                                 pygments.styles
import time:      1960 |      12349 |                               rich.syntax
import time:      1829 |     148110 |                             httpx._main
import time:      1192 |     200856 |                           httpx
import time:      1606 |     202461 |                         huggingface_hub.errors
import time:      1020 |       1020 |                               tqdm._monitor
import time:       779 |        779 |                               tqdm._tqdm_pandas
import time:       944 |        944 |                                           colorama.ansi
import time:       934 |        934 |                                             colorama.win32
import time:       913 |       1847 |                                           colorama.winterm
import time:      1420 |       4211 |                                         colorama.ansitowin32
import time:      1080 |       5290 |                                       colorama.initialise
import time:      1229 |       6519 |                                     colorama
import time:      1878 |       8396 |                                   tqdm.utils
import time:      1784 |      10180 |                                 tqdm.std
import time:      4003 |       4003 |                                 tqdm.version
import time:      1721 |      15902 |                               tqdm.cli
import time:      1027 |       1027 |                               tqdm.gui
import time:      1467 |      20193 |                             tqdm
import time:       796 |        796 |                             tqdm.autonotebook
import time:       926 |        926 |                             tqdm.asyncio
import time:      1078 |      22992 |                           tqdm.auto
import time:      1237 |       1237 |                           huggingface_hub.constants
import time:      1442 |      25669 |                         huggingface_hub.utils.tqdm
import time:     18078 |      18078 |                           huggingface_hub.utils._runtime
import time:       880 |      18958 |                         huggingface_hub.utils._auth
import time:       998 |        998 |                         huggingface_hub.utils._cache_assets
import time:       832 |        832 |                           huggingface_hub.utils.logging
import time:       991 |        991 |                           huggingface_hub.utils._parsing
import time:       712 |        712 |                           huggingface_hub.utils._terminal
import time:      5938 |       8472 |                         huggingface_hub.utils._cache_manager
import time:       989 |        989 |                         huggingface_hub.utils._chunk_utils
import time:       745 |        745 |                         huggingface_hub.utils._datetime
import time:       649 |        649 |                         huggingface_hub.utils._experimental
import time:      1178 |       1178 |                             yaml.error
import time:       992 |        992 |                             yaml.tokens
import time:      1073 |       1073 |                             yaml.events
import time:       881 |        881 |                             yaml.nodes
import time:      6490 |       6490 |                               yaml.reader
import time:     33968 |      33968 |                               yaml.scanner
import time:      1737 |       1737 |                               yaml.parser
import time:      1282 |       1282 |                               yaml.composer
import time:      3071 |       3071 |                               yaml.constructor
import time:      3838 |       3838 |                               yaml.resolver
import time:      1213 |      51596 |                             yaml.loader
import time:      1058 |       1058 |                               yaml.emitter
import time:      1013 |       1013 |                               yaml.serializer
import time:      1425 |       1425 |                               yaml.representer
import time:      1564 |       5059 |                             yaml.dumper
import time:      1321 |       1321 |                               yaml._yaml
import time:      1228 |       2549 |                             yaml.cyaml
import time:      1515 |      64840 |                           yaml
import time:       850 |        850 |                               filelock._error
import time:      2062 |       2912 |                             filelock._api
import time:       978 |        978 |                             filelock._read_write
import time:       876 |        876 |                               filelock._util
import time:       984 |       1859 |                             filelock._soft
import time:       831 |        831 |                             filelock._unix
import time:       933 |        933 |                             filelock._windows
import time:      1760 |       1760 |                             filelock.asyncio
import time:      1093 |       1093 |                             filelock.version
import time:      1651 |      12014 |                           filelock
import time:      1007 |      77860 |                         huggingface_hub.utils._fixes
import time:       843 |        843 |                           huggingface_hub.utils._subprocess
import time:      1245 |       2088 |                         huggingface_hub.utils._git_credential
import time:       807 |        807 |                             huggingface_hub.utils._typing
import time:       943 |       1749 |                           huggingface_hub.utils._validators
import time:       833 |       2581 |                         huggingface_hub.utils._headers
import time:      1042 |       1042 |                           huggingface_hub.utils._lfs
import time:      7281 |       8323 |                         huggingface_hub.utils._http
import time:       943 |        943 |                         huggingface_hub.utils._pagination
import time:      1062 |       1062 |                         huggingface_hub.utils._paths
import time:      1897 |       1897 |                         huggingface_hub.utils._safetensors
import time:      1239 |       1239 |                             _queue
import time:      1168 |       2407 |                           queue
import time:      1101 |       3508 |                         huggingface_hub.utils._telemetry
import time:      2692 |       2692 |                         huggingface_hub.utils._xet
import time:      1912 |     363168 |                       huggingface_hub.utils
import time:      1189 |     364357 |                     transformers.utils.logging
import time:     86606 |      86606 |                     transformers.utils.import_utils
import time:      1225 |       1225 |                       glob
import time:      1942 |       1942 |                       torch._utils
import time:       722 |        722 |                           torch._strobelight
import time:      1080 |       1080 |                           torch._strobelight.cli_function_profiler
import time:      1202 |       3003 |                         torch._strobelight.compile_time_profiler
import time:       997 |       4000 |                       torch._utils_internal
import time:       992 |        992 |                             torch._vendor
import time:      1250 |       2242 |                           torch._vendor.packaging
import time:       764 |        764 |                           torch._vendor.packaging._structures
import time:      3139 |       6143 |                         torch._vendor.packaging.version
import time:       928 |        928 |                         torch.version
import time:       915 |       7986 |                       torch.torch_version
import time:       140 |        140 |                       torch._rocm_init
import time:     51196 |      51196 |                       torch._C
import time:      1303 |       1303 |                         torch._namedtensor_internals
import time:      2846 |       2846 |                         torch.overrides
import time:      1947 |       6095 |                       torch._tensor
import time:      1147 |       1147 |                         torch.types
import time:      1844 |       2991 |                       torch.storage
import time:      1285 |       1285 |                         torch.amp.autocast_mode
import time:      1749 |       1749 |                         torch.amp.grad_scaler
import time:      1406 |       4438 |                       torch.amp
import time:      1555 |       1555 |                       torch.random
import time:      2074 |       2074 |                         difflib
import time:       360 |        360 |                           pwd
import time:       258 |        258 |                           grp
import time:      2320 |       2937 |                         tarfile
import time:      1253 |       1253 |                         torch._weights_only_unpickler
import time:      1481 |       1481 |                         torch._sources
import time:      2156 |       9898 |                       torch.serialization
import time:      2355 |       2355 |                       torch._tensor_str
import time:      1131 |       1131 |                         torch.cuda._device_limits
import time:       762 |        762 |                         torch.cuda.gds
import time:       894 |        894 |                         torch.cuda._utils
import time:      1411 |       1411 |                         torch.cuda.graphs
import time:      1501 |       1501 |                         torch.cuda.green_contexts
import time:      1012 |       1012 |                         torch.cuda.streams
import time:       627 |        627 |                         pynvml
import time:      1079 |       1079 |                           torch.cuda._memory_viz
import time:      2044 |       3122 |                         torch.cuda.memory
import time:       881 |        881 |                         torch.cuda.random
import time:      2212 |       2212 |                           torch.cuda.amp.autocast_mode
import time:      1109 |       1109 |                           torch.cuda.amp.common
import time:      1509 |       1509 |                           torch.cuda.amp.grad_scaler
import time:      1085 |       5914 |                         torch.cuda.amp
import time:       999 |        999 |                         torch.cuda.jiterator
import time:       913 |        913 |                         torch.cuda.nvtx
import time:       933 |        933 |                         torch.cuda.profiler
import time:       879 |        879 |                         torch.cuda.sparse
import time:      1260 |       1260 |                               multiprocessing.process
import time:      1090 |       1090 |                               multiprocessing.reduction
import time:      1615 |       3965 |                             multiprocessing.context
import time:      1241 |       5205 |                           multiprocessing
import time:      2576 |       7781 |                         torch.cuda.tunable
import time:      8638 |      37391 |                       torch.cuda
import time:      1119 |       1119 |                           torch.sparse._semi_structured_conversions
import time:      1067 |       1067 |                           torch.sparse._semi_structured_ops
import time:      1762 |       3947 |                         torch.sparse.semi_structured
import time:      1540 |       5487 |                       torch.sparse
import time:      1134 |       1134 |                       torch._compile
import time:      1004 |       1004 |                       torch._VF
import time:      2242 |       2242 |                             torch.nn.parameter
import time:      2739 |       2739 |                                 torch._prims_common
import time:      1403 |       1403 |                                     torch.utils.backcompat
import time:      1490 |       1490 |                                     torch.utils.collect_env
import time:       974 |        974 |                                             cmd
import time:      1018 |       1018 |                                             bdb
import time:      1258 |       1258 |                                               codeop
import time:      1079 |       2337 |                                             code
import time:      1425 |       1425 |                                             pprint
import time:      2210 |       7962 |                                           pdb
import time:       710 |        710 |                                                   torch.distributed._pycute.typing
import time:      1134 |       1844 |                                                 torch.distributed._pycute.int_tuple
import time:      1085 |       1085 |                                                 torch.distributed._pycute.layout
import time:       761 |       3689 |                                               torch.distributed._pycute
import time:      1749 |       5438 |                                             torch.distributed._mesh_layout
import time:      1000 |       1000 |                                             torch.utils._typing_utils
import time:       993 |        993 |                                               torch.monitor
import time:      1200 |       1200 |                                                 torch.distributed.logging_handlers
import time:       879 |       2079 |                                               torch.distributed.c10d_logger
import time:       684 |        684 |                                               torch.distributed.constants
import time:       932 |        932 |                                               torch.distributed.rendezvous
import time:      3141 |       7827 |                                             torch.distributed.distributed_c10d
import time:      2589 |      16852 |                                           torch.distributed.device_mesh
import time:      1248 |       1248 |                                           torch.distributed.remote_device
import time:      6982 |      33043 |                                         torch.distributed
import time:      1113 |       1113 |                                                         torch.utils.data.datapipes._hook_iterator
import time:      1552 |       2664 |                                                       torch.utils.data.datapipes._typing
import time:       727 |        727 |                                                         torch.utils._import_utils
import time:       645 |        645 |                                                           torch.utils.data.datapipes.utils
import time:      1629 |       2274 |                                                         torch.utils.data.datapipes.utils.common
import time:      1515 |       1515 |                                                         torch.utils.data.dataset
import time:      1191 |       5705 |                                                       torch.utils.data.datapipes.datapipe
import time:      1063 |       9432 |                                                     torch.utils.data.datapipes._decorator
import time:       730 |        730 |                                                       torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       963 |       1693 |                                                     torch.utils.data.datapipes.dataframe.structures
import time:      1534 |      12659 |                                                   torch.utils.data.datapipes.dataframe.dataframes
import time:      1237 |       1237 |                                                   torch.utils.data.datapipes.dataframe.datapipes
import time:      1009 |      14904 |                                                 torch.utils.data.datapipes.dataframe
import time:      1004 |       1004 |                                                         torch.utils.data._utils.collate
import time:       792 |        792 |                                                         torch.utils.data._utils.fetch
import time:      1106 |       1106 |                                                         torch.utils.data._utils.pin_memory
import time:       773 |        773 |                                                         torch.utils.data._utils.signal_handling
import time:      2625 |       2625 |                                                         torch.utils.data._utils.worker
import time:      1345 |       7643 |                                                       torch.utils.data._utils
import time:        28 |       7670 |                                                     torch.utils.data._utils.collate
import time:      1352 |       9022 |                                                   torch.utils.data.datapipes.iter.callable
import time:      1121 |       1121 |                                                     torch.utils.data.sampler
import time:      1239 |       2360 |                                                   torch.utils.data.datapipes.iter.combinatorics
import time:      1745 |       1745 |                                                   torch.utils.data.datapipes.iter.combining
import time:       884 |        884 |                                                     torch.utils.data.datapipes.iter.utils
import time:      1181 |       2064 |                                                   torch.utils.data.datapipes.iter.filelister
import time:       843 |        843 |                                                   torch.utils.data.datapipes.iter.fileopener
import time:      1057 |       1057 |                                                   torch.utils.data.datapipes.iter.grouping
import time:      1000 |       1000 |                                                     torch.utils.data.datapipes.utils.decoder
import time:       971 |       1971 |                                                   torch.utils.data.datapipes.iter.routeddecoder
import time:       840 |        840 |                                                   torch.utils.data.datapipes.iter.selecting
import time:      1032 |       1032 |                                                   torch.utils.data.datapipes.iter.sharding
import time:       833 |        833 |                                                   torch.utils.data.datapipes.iter.streamreader
import time:      1201 |      22965 |                                                 torch.utils.data.datapipes.iter
import time:      1174 |       1174 |                                                   torch.utils.data.datapipes.map.callable
import time:      1293 |       1293 |                                                   torch.utils.data.datapipes.map.combinatorics
import time:      1096 |       1096 |                                                   torch.utils.data.datapipes.map.combining
import time:      1127 |       1127 |                                                   torch.utils.data.datapipes.map.grouping
import time:       871 |        871 |                                                   torch.utils.data.datapipes.map.utils
import time:      1053 |       6612 |                                                 torch.utils.data.datapipes.map
import time:       875 |      45354 |                                               torch.utils.data.datapipes
import time:        19 |      45373 |                                             torch.utils.data.datapipes.iter
import time:        25 |      45397 |                                           torch.utils.data.datapipes.iter.sharding
import time:       729 |        729 |                                           torch.utils.data.graph
import time:      1463 |      47588 |                                         torch.utils.data.graph_settings
import time:      1563 |      82193 |                                       torch.utils.data.dataloader
import time:       792 |        792 |                                       torch.utils.data.distributed
import time:       924 |      83909 |                                     torch.utils.data
import time:       688 |        688 |                                     torch.utils.deterministic
import time:       938 |        938 |                                     torch.utils.hooks
import time:      1006 |       1006 |                                     torch.utils.backend_registration
import time:       668 |        668 |                                     torch.utils.cpp_backtrace
import time:      1898 |       1898 |                                     torch.utils.throughput_benchmark
import time:      1370 |      93367 |                                   torch.utils
import time:      1214 |       1214 |                                   torchgen
import time:      1022 |       1022 |                                       torchgen.code_template
import time:      1412 |       2433 |                                     torchgen.utils
import time:     20684 |      23117 |                                   torchgen.model
import time:      2620 |     120316 |                                 torch.utils._python_dispatch
import time:      2429 |     125483 |                               torch.nn.modules.module
import time:      1224 |       1224 |                                     torch.distributed.rpc
import time:      1603 |       1603 |                                                 pickletools
import time:      1200 |       1200 |                                                 torch.package._digraph
import time:       774 |        774 |                                                 torch.package._importlib
import time:       731 |        731 |                                                 torch.package._mangling
import time:       928 |        928 |                                                   torch.package.importer
import time:       662 |       1589 |                                                 torch.package._package_pickler
import time:      1110 |       1110 |                                                 torch.package._stdlib
import time:       975 |        975 |                                                 torch.package.find_file_dependencies
import time:      1007 |       1007 |                                                 torch.package.glob_group
import time:      2241 |      11227 |                                               torch.package.package_exporter
import time:       975 |      12201 |                                             torch.package.analyze.find_first_use_of_broken_modules
import time:       864 |        864 |                                             torch.package.analyze.trace_dependencies
import time:      1057 |      14121 |                                           torch.package.analyze
import time:       750 |      14870 |                                         torch.package.analyze.is_from_package
import time:       943 |        943 |                                         torch.package.file_structure_representation
import time:       989 |        989 |                                           torch.package._directory_reader
import time:      1139 |       1139 |                                           torch.package._package_unpickler
import time:      1390 |       3517 |                                         torch.package.package_importer
import time:       805 |      20133 |                                       torch.package
import time:        28 |      20160 |                                     torch.package._mangling
import time:      1221 |       1221 |                                     torch._awaits
import time:      1384 |       1384 |                                     torch.futures
import time:      1793 |      25780 |                                   torch._jit_internal
import time:      3263 |       3263 |                                   torch._torch_docs
import time:       875 |        875 |                                   torch.nn._reduction
import time:       963 |        963 |                                     torch.nn.modules.utils
import time:       886 |       1849 |                                   torch.nn.grad
import time:     12637 |      44403 |                                 torch.nn.functional
import time:      1845 |       1845 |                                 torch.nn.init
import time:       948 |        948 |                                 torch.nn.modules.lazy
import time:      1902 |      49097 |                               torch.nn.modules.linear
import time:      2272 |       2272 |                               torch.nn.modules.activation
import time:      1073 |       1073 |                                 torch.nn.modules.container
import time:      1110 |       2183 |                               torch.nn.modules.adaptive
import time:       917 |        917 |                                                     torch._functorch
import time:       911 |        911 |                                                         torch.utils._contextlib
import time:       978 |       1889 |                                                       torch.autograd.grad_mode
import time:      1308 |       3197 |                                                     torch.autograd.forward_ad
import time:      1177 |       5291 |                                                   torch._functorch.pyfunctorch
import time:      1862 |       7152 |                                                 torch._ops
import time:      1926 |       1926 |                                                 torch._library.utils
import time:      2630 |      11708 |                                               torch._library.autograd
import time:      1087 |       1087 |                                               torch._library.fake_impl
import time:      1004 |       1004 |                                                 torch._library.effects
import time:       766 |       1769 |                                               torch._library.simple_registry
import time:      1047 |       1047 |                                               torch._library.fake_class_registry
import time:       698 |        698 |                                                 torch.utils._exposed_in
import time:      1143 |       1143 |                                                 torch._library.custom_ops
import time:      1263 |       1263 |                                                   torch._library.opaque_object
import time:      1571 |       2833 |                                                 torch._library.infer_schema
import time:      1037 |       5710 |                                               torch._library.triton
import time:      1039 |      22358 |                                             torch._library
import time:        33 |      22391 |                                           torch._library.opaque_object
import time:      7775 |      30166 |                                         torch.utils._pytree
import time:       844 |      31009 |                                       torch._vmap_internals
import time:      1269 |       1269 |                                       torch.autograd.functional
import time:      1000 |       1000 |                                         torch.autograd.variable
import time:      1796 |       2795 |                                       torch.autograd.graph
import time:      1754 |       1754 |                                       torch.autograd.anomaly_mode
import time:       771 |        771 |                                             torch._functorch.utils
import time:       638 |        638 |                                               torch._functorch.predispatch
import time:       926 |       1564 |                                             torch._functorch.vmap
import time:       994 |       3329 |                                           torch._functorch.apis
import time:      1421 |       4749 |                                         torch._functorch.autograd_function
import time:      1146 |       5894 |                                       torch.autograd.function
import time:       867 |        867 |                                           torch.testing._utils
import time:        85 |         85 |                                             cmath
import time:      1589 |       1674 |                                           torch.testing._comparison
import time:       829 |        829 |                                           torch.testing._creation
import time:       830 |       4199 |                                         torch.testing
import time:      1542 |       5740 |                                       torch.autograd.gradcheck
import time:      1588 |       1588 |                                         torch.autograd.profiler_util
import time:      3587 |       5175 |                                       torch.autograd.profiler
import time:      2787 |      56420 |                                     torch.autograd
import time:        33 |      56453 |                                   torch.autograd.function
import time:      1197 |      57650 |                                 torch.nn.modules._functions
import time:      1142 |      58791 |                               torch.nn.modules.batchnorm
import time:      1950 |       1950 |                               torch.nn.modules.channelshuffle
import time:      2594 |       2594 |                                 torch.nn.common_types
import time:      2257 |       4851 |                               torch.nn.modules.conv
import time:      1428 |       1428 |                               torch.nn.modules.distance
import time:      1274 |       1274 |                               torch.nn.modules.dropout
import time:      1008 |       1008 |                               torch.nn.modules.flatten
import time:      1400 |       1400 |                               torch.nn.modules.fold
import time:      1088 |       1088 |                               torch.nn.modules.instancenorm
import time:      1626 |       1626 |                               torch.nn.modules.loss
import time:       986 |        986 |                               torch.nn.modules.normalization
import time:      1643 |       1643 |                               torch.nn.modules.padding
import time:       916 |        916 |                               torch.nn.modules.pixelshuffle
import time:      1719 |       1719 |                               torch.nn.modules.pooling
import time:       869 |        869 |                                         torch.__future__
import time:      1340 |       2209 |                                       torch.nn.utils.parametrize
