import time: self [us] | cumulative | imported package
import time:       651 |        651 |                                   asyncio.mixins
import time:      1088 |       1088 |                                   asyncio.tasks
import time:      1515 |       3253 |                                 asyncio.locks
import time:      1360 |       4613 |                               asyncio.staggered
import time:       747 |        747 |                               asyncio.trsock
import time:      2018 |      49147 |                             asyncio.base_events
import time:       766 |        766 |                             asyncio.runners
import time:       818 |        818 |                             asyncio.queues
import time:      1061 |       1061 |                             asyncio.streams
import time:       790 |        790 |                             asyncio.subprocess
import time:       647 |        647 |                             asyncio.taskgroups
import time:       997 |        997 |                             asyncio.timeouts
import time:       646 |        646 |                             asyncio.threads
import time:      1460 |       1460 |                               _overlapped
import time:       982 |        982 |                               asyncio.base_subprocess
import time:      1462 |       1462 |                               asyncio.proactor_events
import time:      1198 |       1198 |                               asyncio.selector_events
import time:       778 |        778 |                               asyncio.windows_utils
import time:      1229 |       7106 |                             asyncio.windows_events
import time:      1441 |      63416 |                           asyncio
import time:        29 |      63444 |                         asyncio.coroutines
import time:     10939 |      78313 |                       pydantic_core.core_schema
import time:      1562 |      85037 |                     pydantic_core
import time:       680 |      85717 |                   pydantic.version
import time:       784 |      86500 |                 pydantic.warnings
import time:      1061 |      87561 |               pydantic._migration
import time:      1105 |       1105 |                   typing_inspection
import time:      2381 |       2381 |                   typing_inspection.typing_objects
import time:      1787 |       5272 |                 typing_inspection.introspection
import time:       890 |        890 |                 pydantic._internal
import time:      1156 |       1156 |                     pydantic._internal._namespace_utils
import time:      1213 |       2368 |                   pydantic._internal._typing_extra
import time:      1203 |       3571 |                 pydantic._internal._repr
import time:      1402 |      11134 |               pydantic.errors
import time:      1040 |      99734 |             pydantic
import time:       826 |        826 |                 pydantic._internal._internal_dataclass
import time:      2062 |       2888 |               pydantic.aliases
import time:      1799 |       1799 |               pydantic.config
import time:      1076 |       5761 |             pydantic._internal._config
import time:      1129 |       1129 |               pydantic._internal._core_utils
import time:       837 |        837 |                 pydantic._internal._import_utils
import time:      1801 |       2637 |               pydantic._internal._utils
import time:      5041 |       8806 |             pydantic._internal._decorators
import time:      1242 |       1242 |                 pydantic._internal._forward_ref
import time:      1534 |       2776 |               pydantic._internal._generics
import time:       873 |        873 |               pydantic._internal._docs_extraction
import time:       973 |       4621 |             pydantic._internal._fields
import time:      1578 |       1578 |                 pydantic.plugin
import time:      1285 |       2862 |               pydantic.plugin._schema_validator
import time:       906 |       3768 |             pydantic._internal._mock_val_ser
import time:      2059 |       2059 |                 fractions
import time:       891 |        891 |                   _uuid
import time:      2055 |       2946 |                 uuid
import time:      1768 |       1768 |                     sysconfig
import time:      1833 |       3601 |                   zoneinfo._tzpath
import time:       854 |        854 |                   zoneinfo._common
import time:       826 |        826 |                   _zoneinfo
import time:      1173 |       6452 |                 zoneinfo
import time:       828 |        828 |                 pydantic.annotated_handlers
import time:      4434 |       4434 |                 pydantic.functional_validators
import time:      1048 |       1048 |                   pydantic._internal._core_metadata
import time:       756 |        756 |                   pydantic._internal._schema_generation_shared
import time:      2938 |       4741 |                 pydantic.json_schema
import time:      1149 |       1149 |                 pydantic._internal._discriminated_union
import time:      1537 |       1537 |                 pydantic._internal._known_annotated_metadata
import time:      1556 |       1556 |                 pydantic._internal._schema_gather
import time:      2509 |      28207 |               pydantic._internal._generate_schema
import time:      1041 |       1041 |               pydantic._internal._signature
import time:      1334 |      30582 |             pydantic._internal._model_construction
import time:      1536 |       1536 |               http
import time:       931 |       2467 |             starlette.exceptions
import time:      9346 |       9346 |               annotated_types
import time:      1055 |       1055 |               pydantic._internal._validators
import time:      7985 |       7985 |               pydantic.types
import time:      2982 |      21366 |             pydantic.fields
import time:       109 |        109 |                   _csv
import time:      1299 |       1408 |                 csv
import time:      1133 |       1133 |                     importlib._abc
import time:       200 |       1333 |                   importlib.util
import time:      2102 |       3434 |                 zipfile
import time:       768 |        768 |                     importlib.metadata._functools
